inID,Commentaire,star,source,company,index_org,star_org,date
10,"arnaque j ’ ai acheté une combinaison blanche à 33€ au lieu de soit disant 100€ , que j ’ ai reçu + d ’ un mois après , avec des traces noires sur le bas de la combi et surtout elle était super transparente ! bref impossible à mettre même avec des sous vêtements couleur chair ! grosse arnaque c ’ est inadmissible je vais la renvoyer avec 6,50€ de frais à mes charges ! en espérant être remboursée ! je ne vous conseille pas du tout showroom privé",1,TrustPilot,ShowRoom,10,1,2021-06-18 00:00:00+00:00
11,"bonjour , commande fait sur showroom n° 233332467 avec un point relais défini . cette commande a été déviée de son point d'origine de plus de 6km par le bon vouloir du transporteur ? ? réponse de showroom n'allez pas le chercher et on vous remboursera ? ? quelle est l'interré de commander d'attendre plus d'un mois pour le remboursement . sur amazon l'ecoute et le respect du client est leur priorité.merci de prendre exemple",2,TrustPilot,ShowRoom,11,2,2021-06-18 00:00:00+00:00
12,"pour commander il n ' y a pas de problème mais pour les retours c'est très compliqué , l'article étant défectueux.les conseillers n'écoutent pas et répétent toujours pareils . je suis très déçue et hésiterais désormais à commander par ce site.surtout que j'attends aussi ma commande lacoste , qui était prévue pour la fête des pères et qui est encore repoussée . commande passée le 5 mai 2021je trouve que c'est un peu exagéré comme délai .",2,TrustPilot,ShowRoom,12,2,2021-06-18 00:00:00+00:00
13,"2 robes achetées sur showroom privées , une pour ma fille , une pour moi . ma fille me dit qu'il y a un trou , donc je regarde du coup les deux robes : toutes les deux défectueuses ( trou au niveau de la couture de l'une , et une maille sortie dans l'autre ) . je retourne donc le colis en prenant la peine de mettre des post it là où les robes sont abimées . je renvoie le colis avec le retour gratuit . plusieurs jours après , je reçois un mail de showroom me disant que mon remboursement a été effectué . sauf que , ils m'ont enlevé 6.50€ de frais de retour ! ! ! ! ! inadmissible , ce n'est pas a moi de payer pour leurs robes défectueuses . et impossible de faire une réclamation sur le service client , depuis 24h , un message d'erreur m'empêche de la faire . mais comme par hasard , quand je valide ma réclamation , ça ne marche pas ! je ne lâche rien , je veux être remboursée et j'ai pris des photos .",1,TrustPilot,ShowRoom,13,1,2021-06-18 00:00:00+00:00
14,"ce sont des voleurs . showroomprivé vend des ipad reconditionnés en mauvais état . ils rejettent la faute sur leurs fournisseurs mais vous laisse vous démerder avec eux . soit disant ils doivent appeler mais j'attends toujours depuis janvier . sara du service client ne comprends pas mon explication . pour tout renseignement voici mon numéro 06 27 27 23 84 . avec veepee , il n ' y a pas de problèmes , ils sont sérieux .",1,TrustPilot,ShowRoom,14,1,2021-06-18 00:00:00+00:00
15,une bande d ’ incapable qui ne savent pas expédier des colis et quand vous avez le malheur de leur demander de vous le faire parvenir c ’ est pas possible on vous rembourse . tout ça sans excuses ni geste commercial . la satisfaction client chez eux c ’ est pas une priorité .,1,TrustPilot,ShowRoom,15,1,2021-06-17 00:00:00+00:00
16,"achete une pergola sur shorom vendu par sourcidys a tours paye 37 € de frais de livraison .il y avait 3 colis j en ai reçu 2 , il me manque le 3 ème qui contient les pieds .. depuis le 10 juin pas de nouvelles , la société ne répond pas ... ni a moi ni a shorom .du coup impossible de la monter paye 299 euros pour rien ..... site à banir.shorom a de suite pris la réclamation en compte mais rien bouge .",2,TrustPilot,ShowRoom,16,2,2021-06-17 00:00:00+00:00
17,"mon colis est arriver abimé , meuble hannah home finition bas de gamme , très déçu.envie de renvoyer le colis , demande de retour demander le 2 juin 2021 et voila j'attend toujours l'étiquettes de retour service client par téléphone non efficace , ils sont la juste pour répondre aux appels , donc problème non résolue ce jour.je laisserais un avis favorable au retour de showroomprive",1,TrustPilot,ShowRoom,17,1,2021-06-17 00:00:00+00:00
18,à fuir showroomprive en cas de problème service client déplorable nul et j'en passe j'ai passé une commande le 5 mai 2021 sur une vente lacoste je reçois un mail m'informant que la livraison va être retardé au plus tard au 11 juin or à ce jour je reçois mon colis avec 2 articles manquants à ma commande ! ! ! comment numéro 23 01 12229 vente lacoste ! ! ! j'ai passé cette commande dans l'espoir de l'offrir pour la fête des pères qui arrive ce dimanche et à ce jour je me retrouve avec une commande incomplète aucune information sur le reste de ma commande showroom me répond d'attendre mdr ils sont malins cela et culotté ! ! ! ce n'est pas la première fois que je rencontre des problèmes avec les colis franchement je déconseille vivement maintenant d'acheter sur showroomprive commande qui n'arrive pas commande incomplète et je ne vous explique pas le casse-tête pour être remboursé ! ! ! en tout cas je ne serai plus cliente chez eux attention à vous futur acheteur je vous aurai prévenu des incompétence de showroomprive ! ! ! nous sommes aujourd'hui le 17 juin et je n'aurais certainement pas le reste de ma commande pour dimanche des images même pas les clients et ne sais même pas répondre où est le reste de ma commande ! ! ! ils font des ventes et ne savent pas assumer et ne savent même pas répondre à leurs clients ! ! ! alors merci de me rembourser au plus vite ou de m'envoyer ma commande dès aujourd'hui cher service client showroomprive à vous de faire vos preuves car vu les commentaires négatifs je pense que vous allez perdre pas mal de clients😉,1,TrustPilot,ShowRoom,18,1,2021-06-17 00:00:00+00:00
19,"j'ai fait la commande d'une sacoche et d'un pull lacoste , il y a de ça 1 mois et demi , déjà le temps d'attente est énorme , mais en sois ce n'est pas si grave.par contre sur mon colis à 120 euros , je n'ai reçu qu'un article sur les deux , j'ai envoyé un mail hier et je n'ai toujours pas de réponse .",1,TrustPilot,ShowRoom,19,1,2021-06-16 00:00:00+00:00
20,"ne répondent pas aux mails de réclamation malgré relance.suite au message sur truspilot me laissent un message , toujours sur truspilot , m'indiquant qu'ils vont me contacter ... j'attends encore ... j'ai à nouveau relancé par mail et par téléphone et je suis supposée avoir reçu un mail le 15 juin dernier . rien dans ma boîte de réception , rien en spam ... bonnes gens , fuyez !",1,TrustPilot,ShowRoom,20,1,2021-06-19 00:00:00+00:00
21,"le service client est expéditif et de mauvaise qualité , après avoir telephoné pour connaitre la procédure de renvoi personne ne m ' a pas informé correctement et après une erreur ils ont refusé de me remboursé de mon article.a fuir , que des problemes chez eux .",1,TrustPilot,ShowRoom,21,1,2021-06-16 00:00:00+00:00
22,"showroom s'est trompé dans l'envoi de ma commande pour une montre.je n'ai pas reçu l'article commandé.mais pour le retour , je dois payer l'affranchissement l'erreur est de leur côté . le retour devrait être gratuitencore un plan malhonnête.cette enseigne vend de vraies marques ( le nettoyeur vapeur polti que j'ai vu dans le commerce , et sur le site polti ) . mais l'emballage laissait à désirer . colissimo a tout renforcé , avec l'adhésif a leur nom.etelle vend des articles avec des marques qui ont existées autrefois , mais qui ont arrêté leurs commerces . les chinois rachètent ces marques . et les chinois créent également des marques avec des noms européens pour que cela sonne bien.les montres ne correspondent pas aux prix d'origine soi-disant affichés . de ce fait les soldes semblent tres intéressantes . une montre a 1000 euros , soldées 100 e , cela vous semble-t-il possible ? ce n'est pas ce type de montres que j'ai acheté . il y a également des articles qui ne correspondent pas exactement aux photos , comme des bagues , ou sacs avec des marques et des soldes qui semblent douteuses . c'est de la camelote de mauvaise qualité . donc , ayoub , c'est inutile de faire une réponse de la part de showroom sur le site de trust pilote . je suis directement en contact avec euxmais au vu de vos réponses , toujours les mêmes je me demande si vous existez vraiment ou si vous êtes un robot .",1,TrustPilot,ShowRoom,22,1,2021-06-16 00:00:00+00:00
23,"un service clients épouvantable et malhonnête . j ’ ai refusé un colis déchiré et contenant des tasses cassées , et showroomprivé refuse de me rembourser car le transporteur a noté le colis comme livré . ils m ’ ont fait croire à une enquête auprès du transporteur qui aurait duré 15 jours selon eux , pour finalement me répondre « votre colis vous a été livré » . je viens de leur écrire car les téléphonistes sont lamentables , mais je ne me fais pas d ’ illusions . pour moi showroomprivé c ’ est terminé , et pourtant j ’ ai beaucoup acheté sur ce site et depuis des années . je n ’ accepte pas de me faire voler comme ça .",1,TrustPilot,ShowRoom,23,1,2021-06-16 00:00:00+00:00
24,"j'ai toujours été cliente chez showroom , jamais déçue . il y a quelques jours , je reçois un article non conforme . on m'envoie le bon retour . je dois faire l'avance des frais , hors de question , on me dit m'envoyer un bon chronopost que j'ai juste à mettre le colis dans ma boîte aux lettres . sauf que je ne reçois pas le bon et rebelote . il y a soit disant un problème avec les bons retour . bref , tant pis , je vais revendre l'article certainement plus cher que celui que je viens de recevoir . hyper déçue 🤬🤬🤬",1,TrustPilot,ShowRoom,24,1,2021-06-16 00:00:00+00:00
25,"très déçue ! j ’ ai souvent commandé sur showroom privé , toujours livrée rapidement.je commande un maillot de bain le 23/05 , je reçois un message m ’ informant d ’ un retard de livraison - maintenant annoncée le 21/06 ... jour de mon départ en vacances ... aucun numéro de suivi mondial relay donc impossible de savoir où est mon colis ... commande 231658244",1,TrustPilot,ShowRoom,25,1,2021-06-16 00:00:00+00:00
26,"ce site propose beaucoup d ’ articles à des prix très intéressants mais le pb c ’ est que 2 commandes sur 3 n ’ arrivent jamais ( rupture de stock , colis perdu ou endommagé etc… ) . c ’ est vrai que vous ne perdez pas d ’ argent car ils remboursent mais vous n ’ avez pas vos produits.site à éviter fortement… .. ! ! ! !",1,TrustPilot,ShowRoom,26,1,2021-06-15 00:00:00+00:00
27,"voleur , escroc ! ! ! ! ! très mauvaise expériencelivraison reçu à moitié après avoir contacté le service client aucune réponse ... aucun dédommagement ! dédouanement en rejettant la faute sur le fournisseur qui est injoignable ! ! un scandale ! a fuir ! ! !",1,TrustPilot,ShowRoom,27,1,2021-06-15 00:00:00+00:00
28,tres mauvais service de retour . deux semaines pour réceptionner un retour en plus payante et plus cher que les frais de livraison qu on paye initialement . plus jamais j achete sur showroom .,1,TrustPilot,ShowRoom,28,1,2021-06-15 00:00:00+00:00
29,ça fait un mois que ma commande aurait du être livré et showroom fait traîner l ’ affaire malgré mes appels et messages pourtant chronopost m ’ a indiqué le colis comme perdu,1,TrustPilot,ShowRoom,29,1,2021-06-15 00:00:00+00:00
30,"cliente depuis des années , déception totale . j ai reçu un colis endommagé , il manquait un produit ( petite valeur ) 3 semaines d'investigation obligatoires , je reçois un mail me disant que la commande était bien livrée mauvaise réponse de leur part . je quitte leur fichier client . de plus les retours sont payants .",1,TrustPilot,ShowRoom,30,1,2021-06-15 00:00:00+00:00
31,"sur 5 commandes , 3 ont été partiellement livrées . certes , on reçoit un remboursement des produits non livrés mais qu'en est-il 1 ) des frais de livraison qui devraient être réduits ( ou plutôt annulés complétement en geste commercial ) . 2 ) est-il normal quand on valide une commande que l'on ne puisse avoir les produits à cette époque où l'on connait le stock à tout instant ( en plus , cela fait plusieurs fois pour ricard que le produit que je souhaitais surtout , n'est plus disponible après la commande . 3 ) comme dans de plus en plus de site , il est bien compliqué pour faire part de telle situation et avoir une réponse",1,TrustPilot,ShowRoom,31,1,2021-06-14 00:00:00+00:00
32,"dernièrement j'ai publié un avis mentionnant ma mauvaise expérience lors de l'achat d'un lot de boxers fila.après plusieurs échanges avec showroomprive , le services clients a finalement accepté que je retourne les articles . leur analyse a abouti à la décision de me rembourser.bravo showroomprive pour avoir accepté de revoir votre position .",5,TrustPilot,ShowRoom,32,5,2021-06-14 00:00:00+00:00
33,"plus jamais ! des escrocs , voleurs avec des qualités de produits minables .",1,TrustPilot,ShowRoom,33,1,2021-06-14 00:00:00+00:00
34,"mêmes horribles expériences que beaucoup d ’ autres personnes ici apparemment . j ’ étais très bonne cliente de showroom car les marques et les prix proposés étaient intéressants . mais une énorme détérioration des services s ’ est fait sentir depuis quelques temps . plus moyen de recevoir une seule commande conforme . toujours des erreurs d ’ articles ( je commande une jupe , je reçois des chaussures hommes ... ) , des commandes perdues dans la nature , ou incomplètes sans la moindre explication . si on ne fait pas des pieds et des mains auprès du service client ( qui répond des semaines plus tard ) , les retours sont aux frais du client ce qui est tout bonnement inacceptable . résultat , j ’ adorais showroomprive , mais maintenant , au bout d ’ une dizaine de commandes défectueuses j ’ en ai assez de perdre mon temps et mon argent , je commande à la concurrence avec qui il n ’ y a jamais aucun souci . showroomprive mène une politique idiote . le client est vraiment pris pour une vache à lait , seulement bon à donner des sous , sans que l ’ on se soucie de sa satisfaction . service client quasi inexistant , aucunement à l ’ écoute . a la limite de l ’ arnaque . je ne comprends pas que le site ne soit pas encore fermé ... a s ’ entêter dans cette voie , showroom est en train de perdre tous ses clients ...",1,TrustPilot,ShowRoom,34,1,2021-06-14 00:00:00+00:00
35,"bonjour , j'ai réservé un voyage pour l'egypte sur le site de showroom . ils ont bien débités l'argent . la 1er fois le voyage a été annulé par l'opérateur travel evasion d'après eux , j'ai du reporter mes vacances . la 2eme de nouveau annuler , avec aucunes explications ni par phone , ni par mail . mon départ était prévu pour le 19 juin 2021 , j'apprends avant - 10 jours que mon voyage est encore annulé , je ne comprends pas pourquoi étant donné que l'egypte est ouvert aux touristiques . travaillant à l'aéroport plusieurs personnes s ' y rendent . attention , je vous conseille de faire attention avec ce site , ils travaillent avec notre argent pendant ce temps . vous appelez le site et malheureusement les personnes aux bouts du fils ne sont pas en mesure de vous répondre , de plus personne ne vous rappel également .",1,TrustPilot,ShowRoom,35,1,2021-06-13 00:00:00+00:00
36,"j'ai passé une commande fin de janvier et je l'ai reçue en février , c'est une montre à vente ourlet , mais je me suis surprise qu'il y a un défaut invisible c'est le dysfonctionnement du fermoir , et quand j'ai essayé de contacter le fournisseur , son adresse mail est introuvable par contre j'ai envoyé pas mal des mails à showroomprivée pour me renseigner , sur le service après vente car j'ai une garantie de 24 mois , et la meilleure c'est qu'on m ' a dit que la garantie ne couvre pas le fermoir de la montre et qui sont navrés que le fermoir de la montre est cassé mais non ! excusez-moi ! c'est un défaut qui est venu avec la montre , le fermoir ne tient pas ! j'ai pris en photo la montre qui est toujours neuve mais on m ' a pas encore réponduvraiment à éviter ! c'est la première et la dernière fois que j'achète chez eux je suis vraiment déçue",1,TrustPilot,ShowRoom,36,1,2021-06-13 00:00:00+00:00
37,"jusqu ' à présent , j'étais très satisfaite de showroomprive . les commandes étaient conformes et lorsqu'il y a eu des soucis ( oui c'est arrivé : mauvaise pointure , flacon ouvert et déversé dans le colis ... ) , le service client a toujours fait au mieux . je vis en martinique et il est l'un des rares sites à nous livrer . certes , la livraison était plus coûteuse mais cela restait raisonnable . seulement depuis qq temps , cela s'est détérioré . les frais de livraison ont commencé par augmenter de façon surréaliste . pour me faire livrer 3 mascaras , cela m'en coûterait 27 euros ! ! ! ! et depuis qq temps , les commandes sont facilement jugées trop volumineuse . impossible donc de me faire livrer un shampoing ! ! ! ! ! on se moque du monde ! ! ! !",2,TrustPilot,ShowRoom,37,2,2021-06-13 00:00:00+00:00
38,"j ai passé une commande pour 2 articles une brosse electrique et des recharges . je reçois un mail pour me dire que mon colis est arrivé . je vais le chercher au point relais , surprise ce fut une enveloppe qui contient uniquement mes recharges . j appel le service client de showroom privée et la on me sort que je dois appeler le vendeur , je suis étonné car lors du débit de ma carte il y a bien écrit sur l intitulé showroom . a ce jour je n ai pas de réponse de leur part . je suis tres déçu de cette société terminé je commande plus chez eux et ne le recommande pas du tout .",1,TrustPilot,ShowRoom,38,1,2021-06-12 00:00:00+00:00
39,"je profite d'une vente eastpak pour changer le sac de ma fille qui vient de nous lâcher.je choisis un modèle out of office que je connais bien puisque ses 2 soeurs en ont un , et elle le choisit de couleur bleu canard et noir.aujourd'hui nous allons le récupérer et mauvaise surprise au déballage : c'est un modèle padded de couleur crafty moss ! donc ni le bon modèle , ni la bonne couleur ! je viens d'imprimer le bon de retour mais j'espère bien être remboursée de la totalité de la somme versée , malgré les commentaires désastreux que je viens de lire ... site à fuir ! ! !",1,TrustPilot,ShowRoom,39,1,2021-06-12 00:00:00+00:00
40,"aujourd'hui c'est mon anniversaire et showroom privé à pensé à moi en m'envoyant un bon d'achat de 10 euros sur ma boite mail . super , je fonce et commande une paire de baskets . problème , le bon d'achat ne passe pas . la commande est validée . j'appelle et écris au service client pour qu'on me le déduisez de ma commande . impossible me dit la conseillère , `` vous devez vérifier votre date anniversaire '' . c'est cela oui . elle m'apprend que la commande étant validée et le bon d'achat ayant été envoyé sur une autre adresse mail , je n'ai pas droit au ce bon d'achat sur cette commande . il me faut repasser une nouvelle commande . c'est cela oui . c'est moche de manquer de savoir vivre à ce point . je refuserai le colis.une nouvelle fois face à ce manque de souplesse .",1,TrustPilot,ShowRoom,40,1,2021-06-12 00:00:00+00:00
41,achat d'un coupon de réduction sur un site pour apprendre l'anglais avec une offre bien moins chère que sur le site officielle . coupon disponible tout de suite après l'achat et fonctionnel .,5,TrustPilot,ShowRoom,41,5,2021-06-11 00:00:00+00:00
42,"j'ai commandé des tapis il y a deux mois , livrables début mai . début mai problèmes techniques , retard dans le traitement chez showroom . puis livraison prévue le 18 mai . les colis sont arrivé chez le transporteur le 15 mai . pas de contact pour prise de rdv . juste une date de livraison prévue le 30 mai au niveau du suivi colis . contact auprès de showroom , qui me disent qu'ils vont intervenir . réception d'un mail au bout de quelques jours : livraison en cours . pas de date précise . appel de nouveau . on relance une enquête . réponse : livraison en cours . j'appelais sans cesse , plates excuses à chaque fois . puis un mail avec une date de livraison : le 6 juin entre 9 et 11 heures . a 17heures , aucune livraison . recontact avec showroom . le lundi matin , la société de livraison relais colis me contacte , s'excuse mais me disent qu'il y a eu un beugue informatique , et que le rdv ne leur était pas parvenu . prise de rdv par téléphone , rdv pris pour le jeudi 10 juin entre 9 et 15h00 . 18h00 : aucune livraison . j'appelle showroom , pour la nième fois je m'énerve et tombe sur un nième interlocuteur incompétent , qui me répond qu'ils ne peuvent rien faire , que la commande est en cours . et là j'explose de colère . cela n ' a que trop durer , car personne ne peut vous dire où est le colis , car apparemment il était arrivé dans le mauvais dépôt . il me propose d'annuler ma commande ( 272 euros ) et me procéder au remboursement . ok . et là je lui pose clairement la question : doivent-ils attendre le retour de la commande pour déclencher le remboursement . il m ' a affirmé que non . quelques minutes après avoir raccroché , je reçois un mail m'informant de l'annulation , et que je serai remboursée quand la commande aurait été réceptionnée chez eux . je rappelle , là je dois encore répéter l'historique , et on m'annonce que oui je devrai attendre . j'ai demandé à parler à un responsable ( à 18h05 ) , il n ' y en avait plus . lors d'un appel la semaine dernière , à 8h00 du matin , idem j'avais aussi demandé à parler un responsable , pas encore arrivé . j'ai demandé à ce que celui-ci me rappelle à son arrivée . j'attends toujours son appel . de même , aujourd'hui j'ai attendu à ce qu'un responsable me rappelle : toujours rien.ce matin j'ai voulu voir si ma commande était bien annulée , et je découvre un message comme quoi la commande leur avait été retournée en mauvais état et qu'ils allaient procéder au remboursement . on semblait avancer . et boum : cet après-midi , je reçois un appel du transporteur , aucune excuse sur la non-livraison d'hier , mais simplement pour reprendre rdv pour mardi prochain . de qui se moque-t-on ? ils ont toujours ma commande dans leur entrepôt . mais un de leurs agents est venue signaler ce matin que dans un coin traînait une commande depuis un bon moment . fuyez cette société , ce n'est pas la première fois que j'ai des problèmes avec eux . fuyez les ventes de linge de lit color full . affreux : qualité zéro moins cinq , ne correspond pas à ce que vous commandez , et en plus les frais de retour sont à votre charge . payez un petit peu plus cher , et allez ailleurs . pour moi , je prends ce jour contact avec ufc que choisir .",1,TrustPilot,ShowRoom,42,1,2021-06-11 00:00:00+00:00
43,"suite et fin de dessous c'est bizarre ? depuis que j'ai communiqué les numéros de commandes demandées par showroom , mon compte est bloqué ..... cela résume l'éthique de cette entreprise . je vais aller voir du côté de que choisir ce que l'on en dit.trustpilot , je vous ai envoyé un mail , car vu leur réaction , je tiens à ce que mes avis restent publiés . je vous envois toutes les infos si c'est nécessaire.mes commandes je les fais désormais chez les concurrents .",1,TrustPilot,ShowRoom,43,1,2021-06-13 00:00:00+00:00
44,"bonjour , après l annulation de ma commande de chaussures annulée , j en ai effectuée une autre sur la même vente qui a été validée.le service client m a assurée par mail qu ils allaient me livrer à la date prévue.hier , ma commande a été annulée à nouveau sans raison.je me demande si cette vente a bien existé ou s il s agit juste d une vente fictive.le service client m a adressé exactement le même message que la dernière fois.ils ne m ont jamais contactée .je suis extrémement décue et je regrette d avoir perdu du temps et de l argent en commandant chez sowroomprivéje vous remercie",1,TrustPilot,ShowRoom,44,1,2021-06-11 00:00:00+00:00
45,"frais de retour à 6.50€ alors que la livraison vers chez moi était à 3.49€ .... quelle arnaque.si j'avais su j'aurais gardé mon article.jamais déçu des retours avec les autres enseignes , c'est toujours gratuit . mais alors là , faire payer le double c'est aberrant .",1,TrustPilot,ShowRoom,45,1,2021-06-11 00:00:00+00:00
46,a fuir compte bloqué dès que vous souhaitez retourner un article et impossible d ’ avoir une réponse concrète du service client.allez voir sur ufc que choisir cela semble être une pratique courante le blocage de compte sans raison au moment où vous passez commande ou lorsque vous devez la retourner.je préfère payer plus cher sur veepee et au moins un sav est être respectée en tant que cliente .,1,TrustPilot,ShowRoom,46,1,2021-06-10 00:00:00+00:00
47,j ai fait un achat d un canapé chez showrooprive à 1049 euros de la maison aubertin vendu soit disant 2049 euros . je faisais donc une économie de plus de 50 % . je suis allée voir par curiosité car mes amis avaient dit que showrooprive arnaquait les clients ! ! ! ! et effectivement le même canapé avec la même couleur est vendu à 989 euros ! ! ! ! grosse arnaque ! ! ! ça craint vraiment . j ai appelé le sav de showrooprive qui m a proposé de refuser le canapé à la livraison ! ! franchement bravo ! ! ! du jamais vu ! ! !,1,TrustPilot,ShowRoom,47,1,2021-06-10 00:00:00+00:00
48,"avant de passer commande sur ce site j'ai voulu voir les avis le concernant et j'ai bien fait , en parcourant ce topic je remarque qu'il y ' a plus de négatif que des clients satisfaits , en plus les réponses du service client sont des réponses types , de mr ayoub , et rien ne dit que les plaintes des clients on été résolus , je vais voir ailleurs .",1,TrustPilot,ShowRoom,48,1,2021-06-09 00:00:00+00:00
49,"franchement c ’ est du vol ! j ’ ai acheté un bijou irl arrivé avec une pierre manquante . j ’ appelle le sav qui me demande de faire le retour en précisant que l ’ objet et endommagé ou défectueux à la livraison , que mon achat sera remboursé entièrement . je reçois mon remboursement aujourd ’ hui mais avec une déduction de 6,50 euros pour les frais de retours ! ! ! inadmissible ! sachant que le bijou a été envoyé déjà défectueux . le sav me réponds que le motif de retour n ’ est pas valide , c ’ est pour ça qu ’ on me retire les frais ! ! ! ! quelle arnaque , envoyé des bijoux mal fait et encore garder l ’ argent des gens .et dire qu ’ il y ’ a un service contrôlé qualité ! j ’ attend le mail du service , car on me demande la photo du bijoux avant retour ! heureusement , que j ’ y ai penser ! après plusieurs mésaventures avec showroom privé , je pense ne plus acheter sur ce site ! déçu de cette expérience même si c ’ est 6,50 euros de retour ça reste des sous sortis de ma poche",1,TrustPilot,ShowRoom,49,1,2021-06-09 00:00:00+00:00
50,"expérience horrible . l ’ une des pires de ma vie . je souhaite acheter un aspirateur sur leur appli . 260€ tout de même . j ’ effectue tout le parcours , valide la somme sur le site de ma banque , je retourne sur showroom et… gros bug . j ’ appelle le service client : commande non confirmée , elle ne sera pas prise en compte et ne serez pas débité . aucun problème , je ré essaie 1h après : même problème , même explication du sav . et hier soir , je rappelle le sav assez en colère de voir que les 2 commandes ont finalement été validées 4 jours après et sont envoyées . et bien sûr je suis bien prélevé de + de 500€ . tout ça à cause d ’ un énorme bug sur leur appli . merci d ’ ailleurs à la conseillère téléphonique de l ’ avoir raccroché au nez alors qu ’ il n ’ y a eu aucun manque de respect de ma part je précise…merci showroom privé , je vous dis adieu !",1,TrustPilot,ShowRoom,50,1,2021-06-09 00:00:00+00:00
51,facture les frais d'expédition pour chaque livraison partielle . soyez gentils et laisser le choix au client . merci d'avance,3,TrustPilot,ShowRoom,51,3,2021-06-09 00:00:00+00:00
