,Commentaire,star,source,company,index_org,star_org,date
55,super,5,TrustedShop,ShowRoom,3308,5,2021-04-01
56,ras,5,TrustedShop,ShowRoom,3322,5,2021-03-31
57,fast and perfect !,5,TrustedShop,ShowRoom,3328,5,2021-03-31
58,ras,5,TrustedShop,ShowRoom,3337,5,2021-03-30
59,ras,5,TrustedShop,ShowRoom,3350,5,2021-03-30
60,produit nikel,5,TrustedShop,ShowRoom,3359,5,2021-03-29
61,"delivery man did not drop the package properly . he rang my bell and then ran away from the door without waiting for me to go downstairs , and it s dangerous someone to pick my stuff on my behalf if no one is watching over the boxes until i am able to pick them .",2,TrustedShop,ShowRoom,3360,2,2021-03-29
62,excelente,5,TrustedShop,ShowRoom,3361,5,2021-03-29
63,good shoping experience .,5,TrustedShop,ShowRoom,3428,5,2021-03-24
64,ras,5,TrustedShop,ShowRoom,3443,5,2021-03-23
65,salute 5++++,5,TrustedShop,ShowRoom,3497,5,2021-03-20
66,good,4,TrustedShop,ShowRoom,3524,4,2021-03-18
67,fine,5,TrustedShop,ShowRoom,3527,5,2021-03-18
68,excelente,5,TrustedShop,ShowRoom,3551,5,2021-03-17
69,top,4,TrustedShop,ShowRoom,3553,4,2021-03-17
70,r.a.s,4,TrustedShop,ShowRoom,3562,4,2021-03-16
71,nickel,5,TrustedShop,ShowRoom,3577,5,2021-03-16
72,bom,4,TrustedShop,ShowRoom,3596,4,2021-03-14
73,conforme a mes attentes,5,TrustedShop,ShowRoom,3613,5,2021-03-13
74,super,5,TrustedShop,ShowRoom,3666,5,2021-03-11
75,all was good,4,TrustedShop,ShowRoom,3683,4,2021-03-10
76,very satisfied with the product,5,TrustedShop,ShowRoom,3700,5,2021-03-08
77,bene arrivate in anticipo,5,TrustedShop,ShowRoom,3709,5,2021-03-07
78,ravie,5,TrustedShop,ShowRoom,3734,5,2021-03-05
79,took too long to arrive,3,TrustedShop,ShowRoom,3748,3,2021-03-04
80,ras,5,TrustedShop,ShowRoom,3773,5,2021-03-03
81,"super fast delivery , product exactly as advertised . top service !",5,TrustedShop,ShowRoom,3784,5,2021-03-02
82,excelente,5,TrustedShop,ShowRoom,3797,5,2021-03-02
83,top,5,TrustedShop,ShowRoom,3800,5,2021-03-02
84,r a s,5,TrustedShop,ShowRoom,3817,5,2021-03-01
85,a very good experience ad usual,4,TrustedShop,ShowRoom,3834,4,2021-02-28
86,ras,4,TrustedShop,ShowRoom,3883,4,2021-02-25
87,"i did ' n receive my order complete , the product was wrong , and the app dont allow to contact the client support .",2,TrustedShop,ShowRoom,3886,2,2021-02-25
88,top,5,TrustedShop,ShowRoom,3899,5,2021-02-24
89,ras,4,TrustedShop,ShowRoom,3914,4,2021-02-23
90,top,5,TrustedShop,ShowRoom,3928,5,2021-02-23
91,ras,5,TrustedShop,ShowRoom,3943,5,2021-02-22
92,bon travaille,5,TrustedShop,ShowRoom,3966,5,2021-02-21
93,good,4,TrustedShop,ShowRoom,3967,4,2021-02-21
94,magnifico,5,TrustedShop,ShowRoom,3973,5,2021-02-21
95,i do find sp very useful in the time of the pandemia .,5,TrustedShop,ShowRoom,3998,5,2021-02-20
96,"very high quality products , good pricing and packaging . the sale had an impressive variety of products , providing significant choice in terms of product lines , colours , sizes , etc . the parcel included 3 jars in glass very well wrapped , arriving in an impeccable condition the delivery was made within the expected timeframe . definitely recommend product and store",5,TrustedShop,ShowRoom,4020,5,2021-02-19
97,five star,5,TrustedShop,ShowRoom,4134,5,2021-02-13
98,good .,5,TrustedShop,ShowRoom,4141,5,2021-02-12
99,nickel,5,TrustedShop,ShowRoom,4150,5,2021-02-12
100,bon produit,5,TrustedShop,ShowRoom,4163,5,2021-02-11
101,perfect,5,TrustedShop,ShowRoom,4201,5,2021-02-10
102,ras,5,TrustedShop,ShowRoom,4216,5,2021-02-09
103,malo,1,TrustedShop,ShowRoom,4222,1,2021-02-09
104,ras,4,TrustedShop,ShowRoom,4224,4,2021-02-09
105,good products and good service .,5,TrustedShop,ShowRoom,4226,5,2021-02-09
106,"5 star service . its not the first time i am ordering from showroomprive and not the last time , for sure .",5,TrustedShop,ShowRoom,4256,5,2021-02-06
107,ras,5,TrustedShop,ShowRoom,4286,5,2021-02-04
108,ras,5,TrustedShop,ShowRoom,4337,5,2021-02-01
109,ras,5,TrustedShop,ShowRoom,4346,5,2021-01-31
110,muy bonito,4,TrustedShop,ShowRoom,4369,4,2021-01-30
111,yessssss !,5,TrustedShop,ShowRoom,4377,5,2021-01-29
112,ras,5,TrustedShop,ShowRoom,4391,5,2021-01-29
113,fantastic bargainsn,5,TrustedShop,ShowRoom,4395,5,2021-01-29
114,i always become my shopping from showroom . i adore it . the pack always become in time and the products are excellent !,5,TrustedShop,ShowRoom,4400,5,2021-01-29
115,ras,5,TrustedShop,ShowRoom,4435,5,2021-01-28
116,ras,4,TrustedShop,ShowRoom,4454,4,2021-01-27
117,very happy,5,TrustedShop,ShowRoom,4484,5,2021-01-24
118,merci,4,TrustedShop,ShowRoom,4486,4,2021-01-24
119,ras,5,TrustedShop,ShowRoom,4490,5,2021-01-24
120,j'adore tout !,5,TrustedShop,ShowRoom,4508,5,2021-01-23
121,ras,4,TrustedShop,ShowRoom,4525,4,2021-01-22
122,good quality product,4,TrustedShop,ShowRoom,4527,4,2021-01-22
123,great product and quick delivery,5,TrustedShop,ShowRoom,4536,5,2021-01-21
124,customer for years i 'm satisfied with the shopping,5,TrustedShop,ShowRoom,4548,5,2021-01-21
125,ras,5,TrustedShop,ShowRoom,4552,5,2021-01-21
126,ras,5,TrustedShop,ShowRoom,4572,5,2021-01-20
127,top !,5,TrustedShop,ShowRoom,4577,5,2021-01-19
128,produits tops,5,TrustedShop,ShowRoom,4713,5,2021-01-11
129,r.a.s .,5,TrustedShop,ShowRoom,4716,5,2021-01-11
130,veri good !,5,TrustedShop,ShowRoom,4719,5,2021-01-11
131,everything was fine unless the the delivery time but it ’ s understandable in this time of year ! thanks for your support regards,4,TrustedShop,ShowRoom,4723,4,2021-01-11
132,"you do n't have a real size chart for the clothes and for the brand 's that i do not know , it 's very frustrating .",4,TrustedShop,ShowRoom,4756,4,2021-01-09
133,super,5,TrustedShop,ShowRoom,4758,5,2021-01-09
134,"i have n't received a part of the order , client service is unachievable and even the parcel was difficult to find at parcel shop",1,TrustedShop,ShowRoom,4771,1,2021-01-06
135,ras,5,TrustedShop,ShowRoom,4778,5,2021-01-05
136,top,5,TrustedShop,ShowRoom,4835,5,2020-12-30
137,ras,4,TrustedShop,ShowRoom,4853,4,2020-12-29
138,ras,5,TrustedShop,ShowRoom,4862,5,2020-12-28
139,large choix,4,TrustedShop,ShowRoom,4863,4,2020-12-28
140,"fast delivery , even faster than stated . very high quality and beautiful t-shirt . only good recommendations",5,TrustedShop,ShowRoom,4874,5,2020-12-28
141,super sac !,5,TrustedShop,ShowRoom,4880,5,2020-12-28
142,top,5,TrustedShop,ShowRoom,4898,5,2020-12-26
143,top,5,TrustedShop,ShowRoom,4950,5,2020-12-23
144,too slow delivery,2,TrustedShop,ShowRoom,4979,2,2020-12-22
145,ras,3,TrustedShop,ShowRoom,4983,3,2020-12-22
146,satisfaction .,4,TrustedShop,ShowRoom,4990,4,2020-12-22
147,ras,5,TrustedShop,ShowRoom,4992,5,2020-12-22
148,ras,5,TrustedShop,ShowRoom,5002,5,2020-12-21
149,je n ’ aime pas la marque lovies and co,5,TrustedShop,ShowRoom,5016,5,2020-12-21
150,very fast deliver !,5,TrustedShop,ShowRoom,5046,5,2020-12-18
151,colis rapide,4,TrustedShop,ShowRoom,5047,4,2020-12-18
152,perfecto,5,TrustedShop,ShowRoom,5075,5,2020-12-17
153,.. mml,5,TrustedShop,ShowRoom,5078,5,2020-12-17
154,top,5,TrustedShop,ShowRoom,5086,5,2020-12-16
155,ras,5,TrustedShop,ShowRoom,5110,5,2020-12-14
156,top,5,TrustedShop,ShowRoom,5127,5,2020-12-13
157,great brands and fantastic discounts,5,TrustedShop,ShowRoom,5163,5,2020-12-11
158,"good quality products , fast delivery .",4,TrustedShop,ShowRoom,5180,4,2020-12-10
159,bom .,5,TrustedShop,ShowRoom,5185,5,2020-12-10
160,nickel,4,TrustedShop,ShowRoom,5205,4,2020-12-08
161,nice,5,TrustedShop,ShowRoom,5224,5,2020-12-04
162,ras,4,TrustedShop,ShowRoom,5226,4,2020-12-04
163,super sac !,5,TrustedShop,ShowRoom,5240,5,2020-12-03
164,all good,4,TrustedShop,ShowRoom,5254,4,2020-12-02
165,5estrelas,5,TrustedShop,ShowRoom,5263,5,2020-12-01
166,super bottines,5,TrustedShop,ShowRoom,5268,5,2020-12-01
167,top,5,TrustedShop,ShowRoom,5278,5,2020-11-30
168,super achat,5,TrustedShop,ShowRoom,5290,5,2020-11-28
169,top,5,TrustedShop,ShowRoom,5292,5,2020-11-27
170,ras,5,TrustedShop,ShowRoom,5328,5,2020-11-26
171,top,5,TrustedShop,ShowRoom,5330,5,2020-11-26
172,ras,5,TrustedShop,ShowRoom,5332,5,2020-11-26
173,correspond tout a fait a mes attentes,4,TrustedShop,ShowRoom,5335,4,2020-11-26
174,ras,5,TrustedShop,ShowRoom,5390,5,2020-11-23
175,excelente,5,TrustedShop,ShowRoom,5392,5,2020-11-23
176,ras,5,TrustedShop,ShowRoom,5399,5,2020-11-23
177,ravie,4,TrustedShop,ShowRoom,5402,4,2020-11-22
178,good service and perfect shoes and packaging,5,TrustedShop,ShowRoom,5419,5,2020-11-22
179,perfecto,5,TrustedShop,ShowRoom,5422,5,2020-11-22
180,top,4,TrustedShop,ShowRoom,5426,4,2020-11-21
181,my order never arrived,1,TrustedShop,ShowRoom,5429,1,2020-11-21
182,deliveries should be quicker and it should be easier to get hold of customer service .,3,TrustedShop,ShowRoom,5430,3,2020-11-21
183,super,5,TrustedShop,ShowRoom,5438,5,2020-11-20
184,excellent produits,5,TrustedShop,ShowRoom,5457,5,2020-11-20
185,super,5,TrustedShop,ShowRoom,5464,5,2020-11-19
186,articles top ! ! !,5,TrustedShop,ShowRoom,5492,5,2020-11-18
187,ras,5,TrustedShop,ShowRoom,5497,5,2020-11-18
188,"the delivery arrived earlier , the only thing is the product was just in the bag of the delivery bag without any protection like being in another bag inside the delivery bag . rather than that the product was just perfect like on the site ! ! ! a good experience as always ! ! !",5,TrustedShop,ShowRoom,5510,5,2020-11-17
189,super,5,TrustedShop,ShowRoom,5543,5,2020-11-14
190,top,5,TrustedShop,ShowRoom,5546,5,2020-11-14
191,ras,5,TrustedShop,ShowRoom,5554,5,2020-11-13
192,good,5,TrustedShop,ShowRoom,5559,5,2020-11-13
193,ras,4,TrustedShop,ShowRoom,5581,4,2020-11-11
194,top,5,TrustedShop,ShowRoom,5585,5,2020-11-10
195,top,4,TrustedShop,ShowRoom,5587,4,2020-11-10
196,"fast delivery , nice case and looks like the pictures",5,TrustedShop,ShowRoom,5630,5,2020-11-08
197,i loved the stuff and the service . thank you,5,TrustedShop,ShowRoom,5642,5,2020-11-07
198,perfect !,5,TrustedShop,ShowRoom,5655,5,2020-11-06
199,perfecto,5,TrustedShop,ShowRoom,5665,5,2020-11-06
200,ras,5,TrustedShop,ShowRoom,5695,5,2020-11-05
201,my orders arrived in time and the things i bought corresponded to the announcements . i am very pleased with the website .,5,TrustedShop,ShowRoom,5704,5,2020-11-04
202,excelente,5,TrustedShop,ShowRoom,5751,5,2020-11-02
203,i love kookai and i am very satisfied with the items i bought,5,TrustedShop,ShowRoom,5758,5,2020-11-02
204,top,5,TrustedShop,ShowRoom,5780,5,2020-10-31
205,bello,5,TrustedShop,ShowRoom,5788,5,2020-10-30
206,received 1 good with colour different the from ordered,3,TrustedShop,ShowRoom,5791,3,2020-10-30
207,"the package was damaged , but the goods were ok .",4,TrustedShop,ShowRoom,5792,4,2020-10-30
208,top,4,TrustedShop,ShowRoom,5812,4,2020-10-29
209,quick delivery and excellent product quality,5,TrustedShop,ShowRoom,5814,5,2020-10-29
210,bello,5,TrustedShop,ShowRoom,5819,5,2020-10-29
211,the cavalli i recently bought gave me a concern over the size cause i took size 52 and what i saw was size 56,4,TrustedShop,ShowRoom,5834,4,2020-10-28
212,perfectos,5,TrustedShop,ShowRoom,5836,5,2020-10-28
213,nul,1,TrustedShop,ShowRoom,5847,1,2020-10-28
214,bom,4,TrustedShop,ShowRoom,5889,4,2020-10-25
215,molto bello,5,TrustedShop,ShowRoom,5926,5,2020-10-22
216,i wish you ’ d ask me about the order that wasn ’ t delivered after 45 days and my money was kept for that period ...,3,TrustedShop,ShowRoom,5937,3,2020-10-22
217,the products were delivered in the wrong size .,3,TrustedShop,ShowRoom,5972,3,2020-10-20
218,ras,4,TrustedShop,ShowRoom,5986,4,2020-10-19
219,super,4,TrustedShop,ShowRoom,5998,4,2020-10-18
220,je suis content .,4,TrustedShop,ShowRoom,6016,4,2020-10-16
221,ottima marca,5,TrustedShop,ShowRoom,6030,5,2020-10-16
222,thank you,5,TrustedShop,ShowRoom,6031,5,2020-10-15
223,fantastic purchase,5,TrustedShop,ShowRoom,6032,5,2020-10-15
224,excelente,5,TrustedShop,ShowRoom,6037,5,2020-10-15
225,ras,4,TrustedShop,ShowRoom,6041,4,2020-10-15
226,good,5,TrustedShop,ShowRoom,6063,5,2020-10-14
227,"everything was ok , the delivery was actually much earlier than expected",5,TrustedShop,ShowRoom,6066,5,2020-10-14
228,ras,5,TrustedShop,ShowRoom,6074,5,2020-10-13
229,excellent choix,5,TrustedShop,ShowRoom,6127,5,2020-10-08
230,hry,3,TrustedShop,ShowRoom,6129,3,2020-10-08
231,ras,5,TrustedShop,ShowRoom,6136,5,2020-10-07
232,okkk,5,TrustedShop,ShowRoom,6160,5,2020-10-06
233,ras,5,TrustedShop,ShowRoom,6172,5,2020-10-06
234,top,4,TrustedShop,ShowRoom,6175,4,2020-10-05
235,good opportunities !,4,TrustedShop,ShowRoom,6184,4,2020-10-05
236,ras,4,TrustedShop,ShowRoom,6195,4,2020-10-04
237,merci,5,TrustedShop,ShowRoom,6201,5,2020-10-03
238,bom,4,TrustedShop,ShowRoom,6229,4,2020-10-01
239,the color is not what expected in the product . i saw red and came almost pink .,3,TrustedShop,ShowRoom,6237,3,2020-10-01
240,ras,4,TrustedShop,ShowRoom,6275,4,2020-09-29
241,ras,4,TrustedShop,ShowRoom,6283,4,2020-09-28
242,molto buono,5,TrustedShop,ShowRoom,6285,5,2020-09-28
243,bravi,5,TrustedShop,ShowRoom,6311,5,2020-09-25
244,ras,4,TrustedShop,ShowRoom,6334,4,2020-09-23
245,ras,5,TrustedShop,ShowRoom,6350,5,2020-09-22
246,tout nickel,5,TrustedShop,ShowRoom,6362,5,2020-09-20
247,very hapy with the product !,5,TrustedShop,ShowRoom,6379,5,2020-09-18
248,bon,4,TrustedShop,ShowRoom,6399,4,2020-09-17
249,perfetti,5,TrustedShop,ShowRoom,6401,5,2020-09-17
250,ras,5,TrustedShop,ShowRoom,6406,5,2020-09-17
251,bon produits,4,TrustedShop,ShowRoom,6410,4,2020-09-17
252,top,5,TrustedShop,ShowRoom,6428,5,2020-09-15
253,excelente,5,TrustedShop,ShowRoom,6432,5,2020-09-14
254,okk,5,TrustedShop,ShowRoom,6436,5,2020-09-14
255,muy satisfechos,5,TrustedShop,ShowRoom,6437,5,2020-09-14
256,not applicable,4,TrustedShop,ShowRoom,6478,4,2020-09-11
257,super service .,5,TrustedShop,ShowRoom,6485,5,2020-09-10
258,ras,5,TrustedShop,ShowRoom,6545,5,2020-09-06
259,ras,4,TrustedShop,ShowRoom,6612,4,2020-09-02
260,merci,5,TrustedShop,ShowRoom,6639,5,2020-09-01
261,ras,5,TrustedShop,ShowRoom,6686,5,2020-09-01
262,bon service,4,TrustedShop,ShowRoom,6690,4,2020-09-01
263,"tout simplement , j'adore ! ! ! merci .",5,TrustedShop,ShowRoom,6717,5,2020-08-31
264,ras,5,TrustedShop,ShowRoom,6724,5,2020-08-31
265,super,5,TrustedShop,ShowRoom,6732,5,2020-08-31
266,top,5,TrustedShop,ShowRoom,6733,5,2020-08-31
267,ras,5,TrustedShop,ShowRoom,6753,5,2020-08-31
268,felicitation,5,TrustedShop,ShowRoom,6759,5,2020-08-31
269,top,5,TrustedShop,ShowRoom,6767,5,2020-08-31
270,ras,5,TrustedShop,ShowRoom,6782,5,2020-08-31
271,excellent produit,5,TrustedShop,ShowRoom,6783,5,2020-08-31
272,top,5,TrustedShop,ShowRoom,6789,5,2020-08-31
273,ras,4,TrustedShop,ShowRoom,6790,4,2020-08-31
274,ras,4,TrustedShop,ShowRoom,6799,4,2020-08-31
275,ras,5,TrustedShop,ShowRoom,6807,5,2020-08-31
276,nickel,5,TrustedShop,ShowRoom,6847,5,2020-08-30
277,merci,5,TrustedShop,ShowRoom,6857,5,2020-08-30
278,content mon achat n'un gb,4,TrustedShop,ShowRoom,6883,4,2020-08-30
279,merci,5,TrustedShop,ShowRoom,6887,5,2020-08-30
280,ras,5,TrustedShop,ShowRoom,6897,5,2020-08-30
281,ravie,5,TrustedShop,ShowRoom,6923,5,2020-08-30
282,super,5,TrustedShop,ShowRoom,6930,5,2020-08-30
283,cool,5,TrustedShop,ShowRoom,6933,5,2020-08-30
284,bon produit,5,TrustedShop,ShowRoom,6945,5,2020-08-30
285,super,5,TrustedShop,ShowRoom,6952,5,2020-08-30
286,ras,5,TrustedShop,ShowRoom,6959,5,2020-08-30
287,oh top nickel,5,TrustedShop,ShowRoom,6991,5,2020-08-29
288,ras,5,TrustedShop,ShowRoom,7000,5,2020-08-29
289,"livr2idon rapide , excellents tissus . fan",5,TrustedShop,ShowRoom,7006,5,2020-08-29
290,ras,5,TrustedShop,ShowRoom,7040,5,2020-08-29
291,ras,4,TrustedShop,ShowRoom,7053,4,2020-08-29
292,ras,5,TrustedShop,ShowRoom,7064,5,2020-08-29
293,nickel,5,TrustedShop,ShowRoom,7101,5,2020-08-28
294,ras,5,TrustedShop,ShowRoom,7112,5,2020-08-28
295,ras,4,TrustedShop,ShowRoom,7129,4,2020-08-28
296,ras,5,TrustedShop,ShowRoom,7152,5,2020-08-28
297,ras,4,TrustedShop,ShowRoom,7195,4,2020-08-28
298,super,4,TrustedShop,ShowRoom,7201,4,2020-08-27
299,ravie,5,TrustedShop,ShowRoom,7215,5,2020-08-27
300,article correct,4,TrustedShop,ShowRoom,7230,4,2020-08-27
301,abc,4,TrustedShop,ShowRoom,7255,4,2020-08-27
302,ras,4,TrustedShop,ShowRoom,7257,4,2020-08-27
303,super,4,TrustedShop,ShowRoom,7281,4,2020-08-27
304,ras,3,TrustedShop,ShowRoom,7298,3,2020-08-26
305,super,5,TrustedShop,ShowRoom,7309,5,2020-08-26
306,ras,5,TrustedShop,ShowRoom,7327,5,2020-08-26
307,merci,5,TrustedShop,ShowRoom,7338,5,2020-08-25
308,merci,4,TrustedShop,ShowRoom,7367,4,2020-08-25
309,ras,3,TrustedShop,ShowRoom,7368,3,2020-08-25
310,bon produit,4,TrustedShop,ShowRoom,7369,4,2020-08-25
311,perfect,5,TrustedShop,ShowRoom,7377,5,2020-08-25
312,robes correctes,4,TrustedShop,ShowRoom,7380,4,2020-08-25
313,top,5,TrustedShop,ShowRoom,7393,5,2020-08-24
314,ras,5,TrustedShop,ShowRoom,7407,5,2020-08-24
315,ras,4,TrustedShop,ShowRoom,7437,4,2020-08-24
316,ras,5,TrustedShop,ShowRoom,7440,5,2020-08-24
317,ras,5,TrustedShop,ShowRoom,7476,5,2020-08-24
318,bonne,5,TrustedShop,ShowRoom,7486,5,2020-08-24
319,ras,5,TrustedShop,ShowRoom,7515,5,2020-08-23
320,conforme,4,TrustedShop,ShowRoom,7519,4,2020-08-23
321,merci,4,TrustedShop,ShowRoom,7545,4,2020-08-23
322,ras,4,TrustedShop,ShowRoom,7550,4,2020-08-23
323,merci,5,TrustedShop,ShowRoom,7558,5,2020-08-23
324,okk,5,TrustedShop,ShowRoom,7585,5,2020-08-23
325,top . merci,5,TrustedShop,ShowRoom,7602,5,2020-08-23
326,cool,5,TrustedShop,ShowRoom,7612,5,2020-08-22
327,merci,5,TrustedShop,ShowRoom,7625,5,2020-08-22
328,ras,5,TrustedShop,ShowRoom,7627,5,2020-08-22
329,sac sympa,3,TrustedShop,ShowRoom,7630,3,2020-08-22
330,nickel,5,TrustedShop,ShowRoom,7635,5,2020-08-22
331,ras,5,TrustedShop,ShowRoom,7640,5,2020-08-22
332,ras,5,TrustedShop,ShowRoom,7681,5,2020-08-22
333,top,5,TrustedShop,ShowRoom,7704,5,2020-08-21
334,top,5,TrustedShop,ShowRoom,7706,5,2020-08-21
335,ras,5,TrustedShop,ShowRoom,7729,5,2020-08-21
336,ras,5,TrustedShop,ShowRoom,7740,5,2020-08-21
337,ras,5,TrustedShop,ShowRoom,7747,5,2020-08-21
338,ttb,5,TrustedShop,ShowRoom,7748,5,2020-08-21
339,ras,5,TrustedShop,ShowRoom,7757,5,2020-08-21
340,top,5,TrustedShop,ShowRoom,7794,5,2020-08-20
341,ras,5,TrustedShop,ShowRoom,7835,5,2020-08-20
342,nul nul nul,1,TrustedShop,ShowRoom,7854,1,2020-08-20
343,ras,5,TrustedShop,ShowRoom,7855,5,2020-08-20
344,ras,4,TrustedShop,ShowRoom,7869,4,2020-08-20
345,ras,5,TrustedShop,ShowRoom,7876,5,2020-08-19
346,c top,3,TrustedShop,ShowRoom,7909,3,2020-08-18
347,okk,4,TrustedShop,ShowRoom,7916,4,2020-08-18
348,article correspond a la photo,5,TrustedShop,ShowRoom,7941,5,2020-08-17
349,top !,5,TrustedShop,ShowRoom,7942,5,2020-08-17
350,ras,4,TrustedShop,ShowRoom,7943,4,2020-08-17
351,ras,5,TrustedShop,ShowRoom,7970,5,2020-08-17
352,super,5,TrustedShop,ShowRoom,7983,5,2020-08-17
353,super,5,TrustedShop,ShowRoom,7996,5,2020-08-16
354,rad,4,TrustedShop,ShowRoom,8007,4,2020-08-16
355,cool,4,TrustedShop,ShowRoom,8026,4,2020-08-16
356,ras,5,TrustedShop,ShowRoom,8038,5,2020-08-16
357,ras,4,TrustedShop,ShowRoom,8058,4,2020-08-16
358,satisfaction totale,5,TrustedShop,ShowRoom,8072,5,2020-08-16
359,ras,5,TrustedShop,ShowRoom,8077,5,2020-08-16
360,super,5,TrustedShop,ShowRoom,8078,5,2020-08-16
361,ras,5,TrustedShop,ShowRoom,8122,5,2020-08-15
362,nickel !,5,TrustedShop,ShowRoom,8139,5,2020-08-15
363,ras,5,TrustedShop,ShowRoom,8167,5,2020-08-15
364,rad,5,TrustedShop,ShowRoom,8176,5,2020-08-15
365,"facile , rapide , conforme ! ! !",5,TrustedShop,ShowRoom,8180,5,2020-08-15
366,magnific,4,TrustedShop,ShowRoom,8222,4,2020-08-14
367,r.a.s,5,TrustedShop,ShowRoom,8242,5,2020-08-14
368,nickel,5,TrustedShop,ShowRoom,8250,5,2020-08-14
369,"encore , encore : )",5,TrustedShop,ShowRoom,8273,5,2020-08-14
370,ras,5,TrustedShop,ShowRoom,8291,5,2020-08-14
371,top,5,TrustedShop,ShowRoom,8299,5,2020-08-13
372,nickel,5,TrustedShop,ShowRoom,8311,5,2020-08-13
373,satisfaction,4,TrustedShop,ShowRoom,8318,4,2020-08-13
374,ras,4,TrustedShop,ShowRoom,8337,4,2020-08-13
375,top,5,TrustedShop,ShowRoom,8340,5,2020-08-13
376,correct,4,TrustedShop,ShowRoom,8370,4,2020-08-13
377,ras,5,TrustedShop,ShowRoom,8385,5,2020-08-12
378,decu,3,TrustedShop,ShowRoom,8400,3,2020-08-12
